# Average: 2177 tokens, Median: 1887 tokens
file,section_size_tokens,status,note
chapter_10_game_runtime_docs_export_kit_authoring_agent_ready.md,1901,WARN,Exceeds 1200 token limit
chapter_05_assets_docs_export_kit_authoring_agent_ready.md,1486,WARN,Exceeds 1200 token limit
chapter_03_modules_docs_export_kit_authoring_agent_ready.md,1770,WARN,Exceeds 1200 token limit
chapter_08_audio_docs_export_kit_authoring_agent_ready.md,1620,WARN,Exceeds 1200 token limit
chapter_09_logging_docs_export_kit_authoring_agent_ready.md,2087,WARN,Exceeds 1200 token limit
chapter_06_network_docs_export_kit_authoring_agent_ready.md,1801,WARN,Exceeds 1200 token limit
chapter_07_settings_crypto_docs_export_kit_authoring_agent_ready.md,1947,WARN,Exceeds 1200 token limit
chapter_02_events_docs_export_kit_authoring_agent_ready.md,1270,WARN,Exceeds 1200 token limit
04_ui/README.md,1519,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/game.md,4687,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/item.md,1277,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/thingtype.md,1887,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/localplayer.md,1615,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/protocolgame.md,2456,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/creature.md,3435,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/uimap.md,1237,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/thing.md,1941,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/tile.md,1297,WARN,Exceeds 1200 token limit
01_core/api/cpp/client/map.md,1711,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/platform/platformwindow.md,1363,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/ui/uiwidget.md,7760,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/ui/uitextedit.md,1309,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/luaengine/luainterface.md,2645,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/luaengine/luainterface.md,2652,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/util/rect.md,2033,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/util/rect.md,2033,WARN,Exceeds 1200 token limit
01_core/api/cpp/framework/util/rect.md,2033,WARN,Exceeds 1200 token limit
